name,rating,reviews,details,highly_rated,critically_rated
Revolut,2.5,(441),FinTech | Bangalore / Bengaluru +10 other locations,Salary & Benefits,Salary & Benefits
India Post,3.8,(436),Government | Bangalore / Bengaluru +176 other locations,Job Security,Job Security
Navin Fluorine International,3.9,(437),Chemicals | Surat +16 other locations,Job Security,Job Security
Prestige Group,4.3,(439),Real Estate | Bangalore / Bengaluru +26 other locations,"Work Life Balance, Job Security, Company Culture",None
FinThrive,3.7,(437),Software Product | Chennai +8 other locations,None,"Work Life Balance, Job Security, Company Culture"
Sterling,3.9,(436),Healthcare | Mumbai +55 other locations,None,"Work Life Balance, Job Security, Company Culture"
Riya Travel,3.6,(434),Travel & Tourism | Mumbai +36 other locations,None,"Work Life Balance, Job Security, Company Culture"
Systra Consulting,4.0,(436),Engineering & Construction | New Delhi +35 other locations,Work Life Balance,Work Life Balance
Yokohama,3.7,(436),Auto Components | Bahadurgarh +35 other locations,Job Security,Job Security
Marble Box,4.0,(435),BPO | Kolkata +5 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Finolex Industries,3.7,(439),Building Material | Pune +60 other locations,None,"Company Culture, Work Life Balance, Salary & Benefits"
Williams Lea,3.6,(438),BPO | Chennai +17 other locations,None,"Company Culture, Work Life Balance, Salary & Benefits"
Action Tesa,4.0,(437),Building Material | Sitarganj +47 other locations,"Job Security, Company Culture, Work Life Balance",None
Emerson Electric Co.,4.1,(435),IT Services & Consulting | Pune +24 other locations,"Work Life Balance, Company Culture, Job Security","Work Life Balance, Company Culture, Job Security"
T.v. Sundram Iyengar & Sons,4.2,(434),Automobile | Chennai +77 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Hettich,3.9,(437),Furniture & Furnishing | Mumbai +39 other locations,Job Security,Job Security
McNally Bharat Engineering,4.1,(435),Engineering & Construction | Kolkata +55 other locations,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
Corporate Infotech,3.7,(433),IT Services & Consulting | New Delhi +43 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
Bharat Fritz Werner,3.7,(436),Industrial Machinery | Bangalore / Bengaluru +16 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
Pepperfry,3.2,(432),Furniture & Furnishing | Mumbai +35 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
DB Schenker,4.3,(437),Logistics | Gurgaon / Gurugram +35 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Matrimonialsindia,4.9,(436),Internet | New Delhi,"Company Culture, Work Satisfaction, Job Security",None
Maersk Line,4.1,(433),Logistics | Pune +25 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Work Life Balance, Company Culture, Work Satisfaction"
Qcon,4.3,(436),Engineering & Construction | Mumbai +28 other locations,"Work Satisfaction, Skill Development / Learning, Company Culture",None
Mobile Programming,2.8,(432),IT Services & Consulting | Bangalore / Bengaluru +22 other locations,None,"Work Satisfaction, Skill Development / Learning, Company Culture"
Texmo Industries,3.9,(431),Industrial Machinery | Coimbatore +34 other locations,"Company Culture, Skill Development / Learning","Company Culture, Skill Development / Learning"
AVIOM,4.0,(435),NBFC | New Delhi +167 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",None
Suprajit Engineering,3.9,(431),Auto Components | Bangalore / Bengaluru +35 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Webskitters,4.1,(430),IT Services & Consulting | Kolkata +4 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Pace Setters Business Solutions,3.3,(433),BPO | Mumbai +20 other locations,None,"Skill Development / Learning, Company Culture, Work Satisfaction"
BUSINESSNEXT,3.4,(435),Software Product | Noida +9 other locations,None,"Skill Development / Learning, Company Culture, Work Satisfaction"
Universal Sompo General Insurance,3.9,(437),Insurance | Mumbai +85 other locations,"Company Culture, Work Life Balance","Company Culture, Work Life Balance"
Uttar Pradesh Power Corporation,4.0,(436),Power | Lucknow +79 other locations,Work Life Balance,Work Life Balance
Magneti Marelli Motherson Auto System,3.8,(430),Auto Components | Pune +16 other locations,Job Security,Job Security
Poorvika Mobiles,4.3,(430),Retail | Chennai +55 other locations,"Job Security, Company Culture, Skill Development / Learning",None
TriGeo Technologies,3.2,(429),IT Services & Consulting | Hyderabad / Secunderabad +5 other locations,None,"Job Security, Company Culture, Skill Development / Learning"
Wockhardt Hospital,4.0,(429),Healthcare | Mumbai +21 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Almarai,4.2,(429),Food Processing | Riyadh +36 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Ralson Tyres Limited,3.7,(430),Auto Components | Ludhiana +46 other locations,Job Security,Job Security
Tejas Networks,4.0,(433),Hardware & Networking | Bangalore / Bengaluru +27 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Job Security, Work Life Balance, Skill Development / Learning"
Prime Focus Technologies,3.3,(429),Software Product | Bangalore / Bengaluru +17 other locations,None,"Job Security, Work Life Balance, Skill Development / Learning"
Micron Electricals,4.0,(429),Engineering & Construction | Bangalore / Bengaluru +17 other locations,"Job Security, Work Satisfaction, Skill Development / Learning","Job Security, Work Satisfaction, Skill Development / Learning"
FMC Corporation,3.9,(429),Agro Chemicals | Bharuch +101 other locations,"Salary & Benefits, Work Life Balance, Company Culture","Salary & Benefits, Work Life Balance, Company Culture"
Hindusthan National Glass,3.7,(430),Packaging | Kolkata +19 other locations,None,"Salary & Benefits, Work Life Balance, Company Culture"
Shivalik Small Finance Bank,3.9,(430),Banking | Noida +27 other locations,Skill Development / Learning,Skill Development / Learning
Satyam Auto Components,3.9,(432),Auto Components | Gurgaon / Gurugram +22 other locations,Job Security,Job Security
Rakuten,3.6,(429),IT Services & Consulting | Bangalore / Bengaluru +10 other locations,None,Job Security
Nippon Life India Asset Management,4.5,(429),Financial Services | Mumbai +137 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
HUDL,3.2,(430),Software Product | Mumbai +14 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
Orient Craft,3.7,(427),Fashion & Textile | Gurgaon / Gurugram +14 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
Reshamandi,3.6,(427),Fashion & Textile | Bangalore / Bengaluru +32 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
Hafele,4.1,(430),Furniture & Furnishing | Mumbai +42 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
Value Point Systems,3.7,(429),IT Services & Consulting | Bangalore / Bengaluru +42 other locations,None,"Company Culture, Work Life Balance, Job Security"
Alcon,3.7,(430),Medical Equipment | Bangalore / Bengaluru +36 other locations,None,"Company Culture, Work Life Balance, Job Security"
Siemens Healthineers,4.0,(427),Healthcare | Bangalore / Bengaluru +15 other locations,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
Great Learning,3.7,(432),EdTech | Bangalore / Bengaluru +11 other locations,None,"Work Life Balance, Job Security, Company Culture"
Dusters Total Solutions Services,3.9,(429),Facility Management Services | Bangalore / Bengaluru +51 other locations,None,"Work Life Balance, Job Security, Company Culture"
Hero Cycles,3.5,(430),Automobile | Ludhiana +41 other locations,None,"Work Life Balance, Job Security, Company Culture"
National Commodities Management Services,3.9,(428),Logistics | Gurgaon / Gurugram +81 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
SIS Prosegur Holdings,3.5,(430),Law Enforcement & Security | New Delhi +82 other locations,None,"Work Life Balance, Job Security"
Alight Solutions,3.7,(427),IT Services & Consulting | Kochi +14 other locations,Work Life Balance,Work Life Balance
Jubilant Agri and Consumer Products,4.0,(426),Chemicals | Gurgaon / Gurugram +89 other locations,"Work Life Balance, Company Culture, Job Security","Work Life Balance, Company Culture, Job Security"
Kellogg Brown and Root,4.2,(427),IT Services & Consulting | Chennai +28 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Sterling Holiday Resort,3.8,(425),Hospitality | Chennai +64 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
BAXY,4.0,(428),Bhiwadi +33 other locations,"Work Life Balance, Job Security, Salary & Benefits",None
Legrand,3.7,(427),Electrical Equipment | Mumbai +52 other locations,None,"Work Life Balance, Job Security, Salary & Benefits"
Lotus Herbals Private Limited,4.2,(427),Beauty & Personal Care | New Delhi +64 other locations,"Company Culture, Work Life Balance, Job Security",None
Bahwan Engineering,4.2,(425),Engineering & Construction | Muscat +22 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Me n Moms,4.0,(426),Retail | Mumbai +57 other locations,"Skill Development / Learning, Salary & Benefits, Work Life Balance",None
Iron Mountain Inc,3.8,(427),IT Services & Consulting | Bangalore / Bengaluru +37 other locations,None,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
RadiSys,4.0,(424),Telecom | Bangalore / Bengaluru +8 other locations,"Company Culture, Work Life Balance, Skill Development / Learning","Company Culture, Work Life Balance, Skill Development / Learning"
Enco Engineers Combine,3.5,(427),Auto Components | Gurgaon / Gurugram +15 other locations,None,"Company Culture, Work Life Balance, Skill Development / Learning"
DATAMARK BPO SERVICE (P) LTD,3.7,(427),BPO | Chennai +10 other locations,None,"Company Culture, Work Life Balance, Skill Development / Learning"
Voyants Solutions,3.5,(424),Engineering & Construction | Gurgaon / Gurugram +79 other locations,None,"Company Culture, Work Life Balance, Skill Development / Learning"
Regalix,2.9,(425),Marketing & Advertising | Hyderabad / Secunderabad +6 other locations,None,"Company Culture, Work Life Balance, Skill Development / Learning"
Central Public Works Department,4.2,(423),Government | New Delhi +112 other locations,"Work Life Balance, Work Satisfaction, Company Culture","Work Life Balance, Work Satisfaction, Company Culture"
Orra Fine Jewellery,3.5,(427),Retail | Mumbai +48 other locations,None,"Work Life Balance, Work Satisfaction, Company Culture"
Educomp Solutions,3.5,(422),EdTech | New Delhi +112 other locations,None,"Work Life Balance, Work Satisfaction, Company Culture"
Bharat Gears,4.1,(424),Auto Components | Faridabad +21 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Chaitanya India Fin Credit,4.0,(424),NBFC | Bangalore / Bengaluru +137 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
Deloitte Digital,3.8,(426),IT Services & Consulting | Chennai +19 other locations,"Company Culture, Skill Development / Learning, Job Security","Company Culture, Skill Development / Learning, Job Security"
Nspira Management Services,3.8,(425),Management Consulting | Hyderabad / Secunderabad +42 other locations,None,"Company Culture, Skill Development / Learning, Job Security"
Groupm Media,3.9,(422),Marketing & Advertising | Gurgaon / Gurugram +23 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
HashedIn by Deloitte,4.2,(423),IT Services & Consulting | Bangalore / Bengaluru +15 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Mindsprint,3.7,(424),IT Services & Consulting | Chennai +7 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Sandoz,4.0,(424),Pharma | Mumbai +19 other locations,"Salary & Benefits, Company Culture, Work Life Balance","Salary & Benefits, Company Culture, Work Life Balance"
Datamatics Business Solutions,3.4,(421),Management Consulting | Mumbai +11 other locations,None,"Salary & Benefits, Company Culture, Work Life Balance"
Wissen Technology,3.8,(420),IT Services & Consulting | Bangalore / Bengaluru +9 other locations,None,"Salary & Benefits, Company Culture, Work Life Balance"
Maharashtra Seamless,3.6,(425),Building Material | Mumbai +23 other locations,Job Security,Job Security
Exicom,3.9,(424),Semiconductors | Gurgaon / Gurugram +22 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
Kirloskar Ferrous Industries,3.9,(423),Iron & Steel | Koppal +18 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
N+A,3.7,(425),Financial Services | Bangalore / Bengaluru +55 other locations,Skill Development / Learning,None
Dodsal Engineering & Construction,4.5,(419),Engineering & Construction | Mumbai +38 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
Emaar India Limited,3.6,(421),Real Estate | Gurgaon / Gurugram +16 other locations,None,"Company Culture, Work Satisfaction, Work Life Balance"
Allianz Partners,3.7,(420),Insurance | Gurgaon / Gurugram +15 other locations,Job Security,Job Security
Careon Healthcare Solutions,3.8,(425),Medical Equipment | Bangalore / Bengaluru +12 other locations,Company Culture,Company Culture
Aurionpro Solutions,3.5,(422),Software Product | Mumbai +38 other locations,None,Company Culture
Iksula,3.4,(420),IT Services & Consulting | Mumbai +43 other locations,None,Company Culture
Vimta Labs,3.5,(423),Hyderabad / Secunderabad +27 other locations,None,Company Culture
Mahendra NextWealth IT,3.7,(426),IT Services & Consulting | Salem +18 other locations,Job Security,Job Security
Westin,4.1,(420),Hospitality | Mumbai +31 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Juniper Networks,4.2,(419),Hardware & Networking | Bangalore / Bengaluru +7 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
smartData Enterprises,3.3,(419),IT Services & Consulting | Nagpur +11 other locations,None,"Company Culture, Work Life Balance, Skill Development / Learning"
Reliance Life Sciences,3.6,(421),Clinical Research | Mumbai +32 other locations,Job Security,Job Security
N.C.L. Industries,3.8,(420),Building Material | Hyderabad / Secunderabad +61 other locations,Job Security,Job Security
V.S.T Tillers Tractors,3.5,(423),Industrial Machinery | Bangalore / Bengaluru +51 other locations,None,Job Security
Propertypistol Realty,3.5,(418),Internet | Mumbai +25 other locations,None,Job Security
Sayaji Hotels,4.2,(417),Hospitality | Indore +30 other locations,"Company Culture, Work Life Balance, Job Security",None
Sulekha.com,3.7,(416),Internet | Chennai +18 other locations,None,"Company Culture, Work Life Balance, Job Security"
Revent Group,3.9,(416),Auto Components | Gurgaon / Gurugram +30 other locations,Work Life Balance,Work Life Balance
IL&FS Engineering and Construction,4.4,(416),Engineering & Construction | Hyderabad / Secunderabad +50 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
LIC Housing Finance,4.0,(416),NBFC | Mumbai +106 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
JoulestoWatts Business Solutions,2.9,(418),IT Services & Consulting | Bangalore / Bengaluru +16 other locations,None,"Job Security, Salary & Benefits, Skill Development / Learning"
Brainvire,3.3,(416),IT Services & Consulting | Ahmedabad +9 other locations,None,"Job Security, Salary & Benefits, Skill Development / Learning"
Creative Synergies Group,4.0,(420),IT Services & Consulting | Bangalore / Bengaluru +7 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
UTL Solar,3.5,(418),Power | New Delhi +57 other locations,None,"Company Culture, Salary & Benefits, Work Life Balance"
JSW Energy,4.1,(418),Power | Barmer +56 other locations,"Job Security, Work Life Balance, Salary & Benefits","Job Security, Work Life Balance, Salary & Benefits"
QUICK HEAL TECHNOLOGIES,3.7,(416),Software Product | Pune +43 other locations,Work Life Balance,Work Life Balance
Maxop Engineering Co.,4.2,(417),Auto Components | Gurgaon / Gurugram +11 other locations,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",None
Otsuka Pharmaceutical India Private Limited,4.1,(415),Pharma | Ahmedabad +35 other locations,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture"
Rusan Pharma,3.5,(417),Pharma | Dehradun +20 other locations,None,"Job Security, Work Life Balance, Company Culture"
British Council,3.6,(415),Education & Training | New Delhi +22 other locations,None,"Job Security, Work Life Balance, Company Culture"
Sarovar Hotels & Resorts,4.0,(415),Hospitality | New Delhi +65 other locations,"Work Life Balance, Work Satisfaction, Job Security",None
Fenesta Building Systems,4.0,(418),Building Material | Gurgaon / Gurugram +60 other locations,"Job Security, Company Culture, Skill Development / Learning","Job Security, Company Culture, Skill Development / Learning"
HCL Healthcare,4.5,(417),Healthcare | Noida +32 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
SUEZ Group,4.2,(413),New Delhi +45 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
QHTalbros,3.6,(416),Auto Components | Gurgaon / Gurugram +23 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Capital Business Systems,3.6,(415),IT Services & Consulting | New Delhi +84 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Macquarie Group,3.3,(416),Financial Services | Gurgaon / Gurugram +16 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
QSpiders,3.6,(416),Education & Training | Bangalore / Bengaluru +23 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
OLX Autos,3.9,(411),Gurgaon / Gurugram +32 other locations,Salary & Benefits,Salary & Benefits
LendingKart,3.2,(412),NBFC | Ahmedabad +38 other locations,None,Salary & Benefits
Onshore Construction,3.8,(412),Engineering & Construction | Mumbai +33 other locations,None,Salary & Benefits
Plastic Omnium,3.7,(413),Automobile | Pune +18 other locations,None,Salary & Benefits
Spoton Logistics,4.5,(411),Logistics | Bangalore / Bengaluru +71 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Galaxy Surfactants,3.8,(413),Chemicals | Mumbai +23 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
GHCL Limited,4.0,(411),Chemicals | Sutrapada +26 other locations,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
Nivea,4.2,(411),Beauty & Personal Care | Mumbai +59 other locations,"Company Culture, Work Life Balance, Salary & Benefits","Company Culture, Work Life Balance, Salary & Benefits"
Expleo Group,3.5,(411),IT Services & Consulting | Pune +7 other locations,None,"Company Culture, Work Life Balance, Salary & Benefits"
Wabtec,4.0,(412),Auto Components | Bangalore / Bengaluru +24 other locations,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture"
Giesecke & Devrient,3.7,(409),IT Services & Consulting | Gurgaon / Gurugram +46 other locations,Work Life Balance,Work Life Balance
Oriental Structural Engineers,4.3,(409),Engineering & Construction | New Delhi +58 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
GS Lab,3.8,(409),IT Services & Consulting | Pune +8 other locations,Work Life Balance,Work Life Balance
ZTE Corporation,4.0,(408),Telecom | Gurgaon / Gurugram +45 other locations,Work Life Balance,Work Life Balance
SOLAR INDUSTRIES INDIA,3.7,(415),Defence & Aerospace | Nagpur +36 other locations,Job Security,Job Security
Global Autotech,4.0,(408),Auto Components | Greater Noida +14 other locations,"Job Security, Skill Development / Learning, Company Culture","Job Security, Skill Development / Learning, Company Culture"
bp,3.8,(412),Oil & Gas | Pune +11 other locations,"Work Life Balance, Salary & Benefits","Work Life Balance, Salary & Benefits"
Jiva Ayurvedic Pharmacy,3.7,(408),Healthcare | Faridabad +45 other locations,None,"Work Life Balance, Salary & Benefits"
DFM Foods,4.0,(410),FMCG | New Delhi +69 other locations,"Salary & Benefits, Company Culture, Work Life Balance",None
Tractebel,4.1,(408),Engineering & Construction | Gurgaon / Gurugram +74 other locations,"Company Culture, Work Life Balance, Work Satisfaction","Company Culture, Work Life Balance, Work Satisfaction"
Avery Dennison,3.9,(409),Packaging | Bangalore / Bengaluru +30 other locations,"Company Culture, Work Life Balance","Company Culture, Work Life Balance"
ByteDance,4.1,(408),Internet | Gurgaon / Gurugram +13 other locations,"Company Culture, Work Life Balance, Salary & Benefits","Company Culture, Work Life Balance, Salary & Benefits"
Kokilaben Dhirubhai Ambani Hospital,3.8,(409),Healthcare | Mumbai +18 other locations,"Skill Development / Learning, Job Security","Skill Development / Learning, Job Security"
Sanmina Sci,4.0,(410),Electronics Manufacturing | Chennai +11 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Skill Development / Learning, Company Culture, Work Life Balance"
ABC Consultants,3.9,(407),Recruitment | Bangalore / Bengaluru +27 other locations,"Company Culture, Work Life Balance, Job Security",None
Myk Laticrete,4.1,(407),Building Material | Hyderabad / Secunderabad +62 other locations,"Salary & Benefits, Work Life Balance, Job Security",None
Wow Momo Foods,3.7,(408),FMCG | Kolkata +40 other locations,None,"Salary & Benefits, Work Life Balance, Job Security"
BOBCARD Ltd.,4.3,(408),Financial Services | Mumbai +91 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Harman Finochem,3.5,(412),Pharma | Aurangabad +11 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Mrs Bector's Food Specialities,3.9,(408),Food Processing | Greater Noida +70 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
FiveS Digital,3.4,(409),BPO | Udaipur +20 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Nagarjuna Fertilizers and Chemicals,4.0,(404),Agro Chemicals | Kakinada +65 other locations,"Company Culture, Skill Development / Learning, Work Life Balance","Company Culture, Skill Development / Learning, Work Life Balance"
Novotel Hotels,4.3,(406),Hospitality | Mumbai +31 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Magus Customer Dialog,3.7,(405),BPO | Hyderabad / Secunderabad +16 other locations,Skill Development / Learning,Skill Development / Learning
Metro Group of Hospitals,3.7,(405),Healthcare | New Delhi +28 other locations,None,Skill Development / Learning
Varuna Integrated Logistics,3.7,(404),Logistics | Gurgaon / Gurugram +51 other locations,None,Skill Development / Learning
Subex,3.5,(405),Emerging Technologies | Bangalore / Bengaluru +11 other locations,None,Skill Development / Learning
F1 Info Solutions and Services,3.8,(403),IT Services & Consulting | Noida +43 other locations,None,Skill Development / Learning
Muthoottu Mini Financiers,3.7,(407),NBFC | Bangalore / Bengaluru +84 other locations,None,Skill Development / Learning
Del Monte Foods,4.0,(404),Food Processing | Gurgaon / Gurugram +56 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
Laxmi Organic Industries,4.1,(405),Chemicals | Mahad +16 other locations,"Job Security, Company Culture, Work Life Balance",None
Kothari Agritech,4.6,(402),Building Material | Solapur +120 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Markets and Markets,3.2,(402),Analytics & KPO | Pune +13 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
ArcelorMittal,4.1,(405),Iron & Steel | Surat +42 other locations,"Work Life Balance, Job Security, Skill Development / Learning",None
Markets and Markets,3.2,(402),Analytics & KPO | Pune +13 other locations,None,"Work Life Balance, Job Security, Skill Development / Learning"
APL Apollo Tubes,3.9,(405),Iron & Steel | Raipur +44 other locations,None,None
Recpdcl.ltd,4.0,(403),Facility Management Services | New Delhi +64 other locations,None,"Work Life Balance, Job Security, Skill Development / Learning"
Vijai Electricals,3.8,(401),Power | Hyderabad / Secunderabad +44 other locations,Skill Development / Learning,Skill Development / Learning
H & R Johnson,3.6,(402),Building Material | Mumbai +67 other locations,None,Skill Development / Learning
Al Turki Enterprises,3.7,(402),Oil & Gas | Muscat +14 other locations,None,Skill Development / Learning
Tata International,3.6,(400),Import & Export | Mumbai +39 other locations,None,Skill Development / Learning
Accel Frontline,4.0,(401),IT Services & Consulting | Chennai +56 other locations,None,Skill Development / Learning
Mr Cooper,4.0,(403),Financial Services | Chennai +8 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Brigade Group,4.1,(401),Real Estate | Bangalore / Bengaluru +10 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Titan Engineering & Automation,4.0,(400),Industrial Automation | Hosur +13 other locations,"Job Security, Skill Development / Learning, Company Culture","Job Security, Skill Development / Learning, Company Culture"
AVAYA,3.3,(402),Software Product | Pune +15 other locations,Work Life Balance,Work Life Balance
Morepen Laboratories,3.9,(403),Pharma | New Delhi +40 other locations,"Job Security, Work Life Balance","Job Security, Work Life Balance"
BKT Tyres,3.9,(401),Auto Components | Bhuj +26 other locations,"Job Security, Salary & Benefits",None
PULSUS HealthTech Group,3.6,(401),Printing & Publishing | Visakhapatnam +8 other locations,None,"Job Security, Salary & Benefits"
Red Hat,4.3,(402),Software Product | Pune +13 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Leighton Contractors,4.2,(398),Engineering & Construction | Mumbai +19 other locations,"Salary & Benefits, Company Culture, Work Life Balance","Salary & Benefits, Company Culture, Work Life Balance"
Flamingo Pharmaceuticals,3.2,(398),Pharma | Mumbai +11 other locations,None,"Salary & Benefits, Company Culture, Work Life Balance"
Hinduja Tech,3.3,(400),IT Services & Consulting | Chennai +14 other locations,None,"Salary & Benefits, Company Culture, Work Life Balance"
Safari Industries India,4.0,(399),Fashion & Textile | Mumbai +64 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
R.V.R. PROJECTS,4.0,(402),Engineering & Construction | Visakhapatnam +47 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",None
ABIS Exports,3.8,(398),Food Processing | Rajnandgaon +84 other locations,None,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
ITI,3.6,(397),Hardware & Networking | Bangalore / Bengaluru +79 other locations,Work Life Balance,Work Life Balance
Lite Bite Foods,4.4,(402),Hospitality | New Delhi +21 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Lakme,4.1,(398),Beauty & Personal Care | Mumbai +73 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Skill Development / Learning, Company Culture, Work Life Balance"
Securitas,3.8,(398),Law Enforcement & Security | Gurgaon / Gurugram +40 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
Techwave Consulting,3.7,(398),IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
Karvy DigiKonnect,3.0,(396),Financial Services | Hyderabad / Secunderabad +20 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
Larsen & Toubro Group,4.1,(395),Engineering & Construction | Chennai +72 other locations,"Job Security, Skill Development / Learning, Company Culture",None
NMDC Limited,4.3,(398),Metals & Mining | Jagdalpur +31 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",None
RapiPay,3.7,(396),FinTech | Noida +87 other locations,Salary & Benefits,Salary & Benefits
Star Bazaar,4.1,(395),Retail | Mumbai +38 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Reliance Infrastructure,4.1,(397),Engineering & Construction | Mumbai +60 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Mahanagar Gas,4.3,(397),Oil & Gas | Mumbai +25 other locations,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
Innovaccer,3.4,(394),Software Product | Noida +7 other locations,None,"Work Life Balance, Job Security, Company Culture"
Mars International India,4.2,(395),Food Processing | Hyderabad / Secunderabad +71 other locations,"Company Culture, Salary & Benefits, Work Life Balance","Company Culture, Salary & Benefits, Work Life Balance"
Black Knight,3.6,(394),IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,None,"Company Culture, Salary & Benefits, Work Life Balance"
K D Hospital,4.6,(393),Healthcare | Ahmedabad +4 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Le Méridien,4.2,(395),Hospitality | New Delhi +23 other locations,"Job Security, Skill Development / Learning, Company Culture",None
2COMS,3.5,(393),Kolkata +45 other locations,None,"Job Security, Skill Development / Learning, Company Culture"
2COMS,3.5,(393),Kolkata +45 other locations,None,"Job Security, Skill Development / Learning, Company Culture"
Metalman Auto,3.9,(397),Auto Components | Aurangabad +19 other locations,"Company Culture, Job Security, Skill Development / Learning","Company Culture, Job Security, Skill Development / Learning"
Self Practice,4.3,(394),Analytics & KPO | New Delhi +115 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",None
Invesco,3.8,(395),Financial Services | Hyderabad / Secunderabad +7 other locations,"Work Life Balance, Company Culture","Work Life Balance, Company Culture"
Keysight Technologies,4.0,(394),Electronics Manufacturing | Gurgaon / Gurugram +10 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
Reliance Capital,3.6,(392),Financial Services | Mumbai +83 other locations,None,"Company Culture, Work Life Balance, Job Security"
